Color [A=255, R=16, G=16, B=28]
Color [A=255, R=16, G=16, B=40]
Color [A=255, R=16, G=16, B=42]
Color [A=255, R=16, G=17, B=35]
Color [A=255, R=16, G=17, B=37]
Color [A=255, R=16, G=17, B=45]
Color [A=255, R=16, G=18, B=31]
Color [A=255, R=16, G=18, B=43]
Color [A=255, R=16, G=19, B=38]
Color [A=255, R=16, G=20, B=32]
Color [A=255, R=16, G=20, B=45]
Color [A=255, R=16, G=20, B=47]
Color [A=255, R=16, G=20, B=49]
Color [A=255, R=16, G=21, B=41]
Color [A=255, R=16, G=23, B=29]
Color [A=255, R=16, G=23, B=31]
Color [A=255, R=16, G=23, B=33]
Color [A=255, R=16, G=24, B=35]
Color [A=255, R=16, G=25, B=30]
Color [A=255, R=16, G=25, B=32]
Color [A=255, R=16, G=25, B=34]
Color [A=255, R=16, G=26, B=28]
Color [A=255, R=16, G=26, B=35]
Color [A=255, R=16, G=26, B=36]
Color [A=255, R=16, G=27, B=33]
Color [A=255, R=17, G=11, B=25]
Color [A=255, R=17, G=13, B=28]
Color [A=255, R=17, G=13, B=48]
Color [A=255, R=17, G=14, B=31]
Color [A=255, R=17, G=14, B=33]
Color [A=255, R=17, G=14, B=35]
Color [A=255, R=17, G=15, B=37]
Color [A=255, R=17, G=16, B=30]
Color [A=255, R=17, G=16, B=34]
Color [A=255, R=17, G=17, B=43]
Color [A=255, R=17, G=18, B=38]
Color [A=255, R=17, G=20, B=39]
Color [A=255, R=17, G=21, B=30]
Color [A=255, R=17, G=21, B=32]
Color [A=255, R=17, G=21, B=33]
Color [A=255, R=17, G=21, B=46]
Color [A=255, R=17, G=21, B=50]
Color [A=255, R=17, G=22, B=25]
Color [A=255, R=17, G=22, B=51]
Color [A=255, R=17, G=22, B=52]
Color [A=255, R=17, G=22, B=54]
Color [A=255, R=17, G=23, B=35]
Color [A=255, R=17, G=23, B=37]
Color [A=255, R=17, G=24, B=30]
Color [A=255, R=17, G=24, B=32]
Color [A=255, R=17, G=24, B=34]
Color [A=255, R=17, G=25, B=27]
Color [A=255, R=17, G=25, B=28]
Color [A=255, R=17, G=25, B=36]
Color [A=255, R=17, G=26, B=33]
Color [A=255, R=17, G=26, B=35]
Color [A=255, R=17, G=26, B=41]
Color [A=255, R=17, G=27, B=36]
